0.46821	-0.02769
0.47692	-0.0279
0.4857	-0.02809
0.49457	-0.02825
0.50352	-0.0284
0.51255	-0.02852
0.52166	-0.02862
0.53085	-0.02869
0.54012	-0.02875
0.54947	-0.02878
0.5589	-0.02878
0.56841	-0.02876
0.578	-0.02872
0.58767	-0.02865
0.59742	-0.02855
0.60725	-0.02843
0.61715	-0.02829
0.62714	-0.02811
0.63721	-0.02791
0.64736	-0.02767
0.65758	-0.02741
0.66789	-0.02712
0.67827	-0.0268
0.68873	-0.02644
0.69927	-0.02606
0.70989	-0.02564
0.72058	-0.02519
0.73136	-0.0247
0.74221	-0.02418
0.75314	-0.02362
0.76414	-0.02302
0.77522	-0.02238
0.78638	-0.02171
0.79762	-0.02099
0.80893	-0.02024
0.82032	-0.01944
0.83178	-0.01859
0.84332	-0.0177
0.85493	-0.01676
0.86662	-0.01578
0.87838	-0.01474
0.89022	-0.01366
0.90213	-0.01252
0.91411	-0.01132
0.92616	-0.01007
0.93829	-0.00876
0.95049	-0.00739
0.96276	-0.00595
0.9751	-0.00446
0.98751	-0.00289
0.99999	-0.00126
